player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
zambrca01,1981,6,1,Venezuela,Carabobo,Carlos,Zambrano,275,76,B,R,2001/8/20,2001,20,2012/9/21,,zambc001,zambrca01,11.1,l
johnsni01,1978,9,19,USA,CA,Nick,Johnson,235,75,L,L,2001/8/21,2001,23,2012/6/27,,johnn001,johnsni01,10.86,l
cruzju02,1978,10,15,D.R.,Monsenor Nouel,Juan,Cruz,170,74,R,R,2001/8/21,2001,23,2012/8/19,,cruzj005,cruzju02,11,l
jennija01,1978,7,17,USA,TX,Jason,Jennings,235,74,L,R,2001/8/23,2001,23,2009/8/26,,jennj001,jennija01,8.01,m
mohrdu01,1976,6,19,USA,MS,Dustan,Mohr,210,72,R,R,2001/8/29,2001,25,2007/7/8,,mohrd001,mohrdu01,5.86,s
everead01,1977,2,2,USA,GA,Adam,Everett,180,72,R,R,2001/8/30,2001,24,2011/6/26,,evera001,everead01,9.83,m
knotter01,1974,9,23,USA,IL,Eric,Knott,188,72,L,L,2001/9/1,2001,27,2003/8/26,,knote001,knotter01,1.98,s
miadiba01,1976,2,3,USA,CA,Bart,Miadich,205,76,R,R,2001/9/2,2001,25,2003/8/12,,miadb001,miadiba01,1.94,s
bauerri01,1977,1,10,USA,CA,Rick,Bauer,215,78,R,R,2001/9/2,2001,24,2008/6/29,,bauer001,bauerri01,6.83,m
foggjo01,1976,12,13,USA,MA,Josh,Fogg,205,74,R,R,2001/9/2,2001,25,2009/10/4,,foggj001,foggjo01,8.09,m
harriwi01,1978,6,22,USA,GA,Willie,Harris,195,69,L,R,2001/9/2,2001,23,2012/6/24,,harrw001,harriwi02,10.82,l
nealbl01,1978,4,6,USA,NJ,Blaine,Neal,205,77,L,R,2001/9/3,2001,23,2005/6/15,,nealb001,nealbl01,3.78,s
magruch01,1977,4,26,USA,WA,Chris,Magruder,200,71,B,R,2001/9/4,2001,24,2005/9/28,,magrc001,magruch01,4.07,s
almoner01,1978,2,1,D.R.,Distrito Nacional,Erick,Almonte,245,74,R,R,2001/9/4,2001,23,2011/4/25,,almoe001,almoner01,9.64,m
riverju01,1978,7,3,Venezuela,Miranda,Juan,Rivera,220,74,R,R,2001/9/4,2001,23,2012/10/3,,rivej001,riverju01,11.09,l
milleco01,1976,3,18,USA,CA,Corky,Miller,250,73,R,R,2001/9/4,2001,25,2013/9/29,,millc001,milleco01,12.08,l
beckejo02,1980,5,15,USA,TX,Josh,Beckett,230,77,R,R,2001/9/4,2001,21,2014/8/3,,beckj002,beckejo02,12.92,l
spoonti01,1979,10,21,USA,CA,Tim,Spooneybarger,190,75,R,R,2001/9/5,2001,22,2003/6/11,,spoot001,spoonti01,1.76,s
ainswku01,1978,9,9,USA,LA,Kurt,Ainsworth,192,75,R,R,2001/9/5,2001,23,2004/5/14,,ainsk001,ainswku01,2.69,s
aldrico01,1979,6,13,USA,TX,Cory,Aldridge,210,72,L,R,2001/9/5,2001,22,2010/7/11,,aldrc001,aldrico01,8.85,m
ransoco01,1976,2,17,USA,AZ,Cody,Ransom,200,74,R,R,2001/9/5,2001,25,2013/8/31,,ransc001,ransoco01,11.99,l
torreyo01,1978,7,19,Venezuela,Distrito Federal,Yorvit,Torrealba,200,71,R,R,2001/9/5,2001,23,2013/9/25,,torry001,torreyo01,12.06,l
penaca01,1978,5,17,D.R.,Distrito Nacional,Carlos,Pena,225,74,L,L,2001/9/5,2001,23,2014/7/12,,penac001,penaca01,12.86,l
koplomi01,1976,8,30,USA,PA,Mike,Koplove,165,72,R,R,2001/9/6,2001,25,2007/9/26,,koplm001,koplomi01,6.06,m
olsenke01,1976,7,26,USA,CA,Kevin,Olsen,200,74,R,R,2001/9/7,2001,25,2003/9/27,,olsek001,olsenke01,2.05,s
vazqura01,1976,8,21,P.R.,,Ramon,Vazquez,195,71,L,R,2001/9/7,2001,25,2009/10/4,,vazqr001,vazqura01,8.08,m
voylebr01,1976,12,30,USA,WI,Brad,Voyles,195,73,R,R,2001/9/8,2001,25,2003/9/27,,voylb001,voylebr01,2.05,s
santoan01,1979,8,14,P.R.,,Angel,Santos,178,71,B,R,2001/9/8,2001,22,2003/9/28,,santa002,santoan01,2.05,s
gilge01,1975,8,7,Mexico,Oaxaca,Geronimo,Gil,240,75,R,R,2001/9/8,2001,26,2007/8/22,,gil-g001,gilge01,5.96,s
hoovepa01,1976,4,14,USA,OH,Paul,Hoover,210,73,R,R,2001/9/8,2001,25,2010/9/29,,hoovp001,hoovepa01,9.06,m
bergebr01,1975,2,21,USA,KY,Brandon,Berger,205,71,R,R,2001/9/9,2001,26,2004/6/13,,bergb001,bergebr01,2.76,s
cotahu01,1979,2,7,Mexico,Sonora,Humberto,Cota,225,71,R,R,2001/9/9,2001,22,2007/5/28,,cotah001,cotahu01,5.72,s
puntoni01,1977,11,8,USA,CA,Nick,Punto,195,69,B,R,2001/9/9,2001,24,2014/9/27,,puntn001,puntoni01,13.06,l
abadan01,1972,8,25,USA,FL,Andy,Abad,184,73,L,L,2001/9/10,2001,29,2006/4/13,,abada001,abadan01,4.59,s
middlja01,1975,6,26,USA,MI,Jason,Middlebrook,215,75,R,R,2001/9/17,2001,26,2003/5/15,,middj001,middlja01,1.66,s
harveke01,1978,3,1,USA,CA,Ken,Harvey,240,74,R,R,2001/9/18,2001,23,2005/5/18,,harvk001,harveke01,3.67,s
berroan01,1978,1,27,D.R.,Distrito Nacional,Angel,Berroa,195,72,R,R,2001/9/18,2001,23,2009/8/6,,berra001,berroan01,7.89,m
rivermi02,1976,9,8,P.R.,,Mike,Rivera,220,73,R,R,2001/9/18,2001,25,2011/5/20,,rivem003,rivermi02,9.67,m
betemwi01,1981,11,2,D.R.,Distrito Nacional,Wilson,Betemit,220,74,B,R,2001/9/18,2001,20,2013/9/12,,betew001,betemwi01,11.99,l
fernaja01,1972,2,2,USA,UT,Jared,Fernandez,223,74,R,R,2001/9/19,2001,29,2006/5/11,,fernj002,fernaja01,4.64,s
phillja04,1976,9,27,USA,CA,Jason,Phillips,180,73,R,R,2001/9/19,2001,25,2007/7/18,,philj003,phillja04,5.83,s
overbly01,1977,1,28,USA,WA,Lyle,Overbay,235,74,L,L,2001/9/19,2001,24,2014/9/28,,overl001,overbly01,13.03,l
stoneri01,1975,2,28,USA,OH,Ricky,Stone,170,73,R,R,2001/9/21,2001,26,2007/7/21,,stonr001,stoneri01,5.83,s
macdomi01,1977,3,5,USA,NV,Mike,MacDougal,180,76,B,R,2001/9/22,2001,24,2012/4/30,,macdm001,macdomi01,10.61,l
custja01,1979,1,16,USA,NJ,Jack,Cust,250,73,L,R,2001/9/26,2001,22,2011/7/27,,custj001,custja01,9.84,m
raineti02,1979,8,31,USA,TN,Tim,Raines,190,70,R,R,2001/10/1,2001,22,2004/10/3,,raint002,raineti02,3.01,s
coreyma02,1974,11,16,USA,PA,Mark,Corey,220,74,R,R,2001/10/2,2001,27,2004/10/1,,corem001,coreyma02,3,s
huckake01,1971,1,27,USA,CA,Ken,Huckaby,205,73,R,R,2001/10/6,2001,30,2006/9/27,,huckk001,huckake01,4.98,s
cassisc01,1975,10,3,USA,NY,Scott,Cassidy,175,74,R,R,2002/4/1,2002,27,2006/9/25,,casss001,cassisc01,4.49,s
blaloha01,1980,11,21,USA,CA,Hank,Blalock,192,73,L,R,2002/4/1,2002,22,2010/6/27,,blalh001,blaloha01,8.24,m
silvaca01,1979,4,23,Venezuela,Bolivar,Carlos,Silva,280,76,R,R,2002/4/1,2002,23,2010/9/7,,silvc001,silvaca01,8.44,m
hinsker01,1977,8,5,USA,WI,Eric,Hinske,235,74,L,R,2002/4/1,2002,25,2013/6/27,,hinse001,hinsker01,11.25,l
burrose01,1980,9,12,USA,GA,Sean,Burroughs,195,73,L,R,2002/4/2,2002,22,2012/4/30,,burrs001,burrose01,10.08,l
rauchjo01,1978,9,27,USA,KY,Jon,Rauch,290,83,R,R,2002/4/2,2002,24,2013/5/17,,raucj001,rauchjo01,11.13,l
uguetlu01,1979,2,15,Venezuela,Distrito Federal,Luis,Ugueto,195,72,B,R,2002/4/3,2002,23,2003/9/23,,uguel001,uguetlu01,1.47,s
escalfe01,1979,3,12,Venezuela,Carabobo,Felix,Escalona,185,72,R,R,2002/4/4,2002,23,2005/10/2,,escaf001,escalfe01,3.5,s
sosajo02,1978,4,28,D.R.,Distrito Nacional,Jorge,Sosa,220,74,R,R,2002/4/4,2002,24,2010/10/2,,sosaj002,sosajo02,8.5,m
