player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
wolfro01,1982,10,18,USA,IL,Ross,Wolf,190,72,R,R,2007/8/10,2007,25,2013/9/13,,wolfr002,wolfro01,6.1,m
stewaia01,1985,4,5,USA,CA,Ian,Stewart,225,75,L,R,2007/8/11,2007,22,2014/5/11,,stewi001,stewaia01,6.75,m
acostma01,1981,5,1,Panama,Colon,Manny,Acosta,215,76,R,R,2007/8/12,2007,26,2012/10/3,,acosm001,acostma01,5.15,s
jurrjja01,1986,1,29,Curacao,,Jair,Jurrjens,200,73,R,R,2007/8/15,2007,21,2014/7/9,,jurrj001,jurrjja01,6.9,m
gutieju01,1983,7,14,Venezuela,Anzoategui,J. C.,Gutierrez,245,75,R,R,2007/8/19,2007,24,2014/9/26,,gutij002,gutieju01,7.11,m
stanscr01,1982,3,8,Saudi Arabia,,Craig,Stansberry,185,72,R,R,2007/8/25,2007,25,2009/7/10,,stanc001,stanscr01,1.88,s
bucknbi02,1983,8,27,USA,GA,Billy,Buckner,205,74,R,R,2007/8/25,2007,24,2014/5/24,,buckb002,bucknbi02,6.75,m
pattotr01,1985,9,3,USA,TX,Troy,Patton,180,73,B,L,2007/8/25,2007,22,2014/6/13,,pattt001,pattotr01,6.81,m
sanchro01,1984,4,28,Venezuela,Lara,Romulo,Sanchez,270,77,R,R,2007/8/26,2007,23,2010/9/25,,sancr002,sanchro01,3.08,s
koshajo01,1982,5,26,USA,LA,Joe,Koshansky,230,76,L,L,2007/9/1,2007,25,2008/9/27,,koshj001,koshajo01,1.07,s
meloajo01,1984,7,11,USA,TX,Jon,Meloan,225,75,R,R,2007/9/1,2007,23,2009/10/3,,meloj002,meloajo01,2.09,s
stettmi01,1981,1,16,USA,IN,Mitch,Stetter,215,77,L,L,2007/9/1,2007,26,2011/5/14,,stetm001,stettmi01,3.7,s
huch01,1984,2,2,Taiwan,,Chin-lung,Hu,190,71,R,R,2007/9/1,2007,23,2011/5/16,,hu--c001,huch01,3.71,s
thompri03,1984,7,1,Australia,New South Wales,Rich,Thompson,210,73,R,R,2007/9/1,2007,23,2012/4/23,,thomr006,thompri03,4.65,s
gonzaal03,1983,4,18,Venezuela,Zulia,Alberto,Gonzalez,195,70,R,R,2007/9/1,2007,24,2013/7/19,,gonza005,gonzaal03,5.88,s
morgany01,1980,7,2,USA,CA,Nyjer,Morgan,180,70,L,L,2007/9/1,2007,27,2014/5/14,,morgn001,morgany01,6.7,m
anderjo03,1982,8,10,USA,KY,Josh,Anderson,195,74,L,R,2007/9/2,2007,25,2009/10/2,,andej004,anderjo03,2.08,s
murphbi02,1981,5,9,USA,CA,Bill,Murphy,195,71,L,L,2007/9/3,2007,26,2009/5/13,,murpb001,murphbi02,1.69,s
blackni01,1982,2,24,USA,OK,Nick,Blackburn,240,76,R,R,2007/9/3,2007,25,2012/8/17,,blacn001,blackni01,4.96,s
seddoch01,1983,10,13,USA,CA,Chris,Seddon,220,76,L,L,2007/9/3,2007,24,2012/10/3,,seddc001,seddoch01,5.09,s
hartke01,1982,12,29,USA,OH,Kevin,Hart,215,76,R,R,2007/9/4,2007,25,2009/9/29,,hartk001,hartke01,2.07,s
balenwl01,1984,7,2,Curacao,,Wladimir,Balentien,220,74,R,R,2007/9/4,2007,23,2009/10/2,,balew001,balenwl01,2.08,s
clemeje01,1983,8,21,USA,IA,Jeff,Clement,220,73,L,R,2007/9/4,2007,24,2012/9/28,,clemj001,clemeje01,5.07,s
johnsro07,1982,7,22,USA,MT,Rob,Johnson,220,73,R,R,2007/9/4,2007,25,2013/9/14,,johnr009,johnsro07,6.03,m
whitebi04,1978,11,20,USA,KY,Bill,White,215,75,L,L,2007/9/5,2007,29,2008/9/26,,whitb001,whitebi04,1.06,s
