player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
hockide01,1970,4,2,USA,CA,Denny,Hocking,180,70,B,R,1993/9/10,1993,23,2005/9/28,,hockd001,hockide01,12.06,l
womacto01,1969,9,25,USA,VA,Tony,Womack,160,69,L,R,1993/9/10,1993,24,2006/6/24,,womat001,womacto01,12.79,l
jonesch06,1972,4,24,USA,FL,Chipper,Jones,210,76,B,R,1993/9/11,1993,21,2012/10/3,,jonec004,jonesch06,19.07,l
minchna01,1969,8,31,USA,TX,Nate,Minchey,225,80,R,R,1993/9/12,1993,24,1997/9/25,,mincn001,minchna01,4.04,s
hamelbo01,1967,11,29,USA,NJ,Bob,Hamelin,240,73,L,L,1993/9/12,1993,26,1998/9/27,,hameb001,hamelbo01,5.04,s
fosteke01,1969,1,13,USA,IL,Kevin,Foster,160,73,R,R,1993/9/12,1993,24,2001/8/21,,fostk001,fosteke01,7.95,m
flenehu01,1969,2,25,USA,TX,Huck,Flener,175,71,B,L,1993/9/14,1993,24,1997/7/28,,flenh001,flenehu01,3.87,s
pridecu01,1968,12,17,USA,DC,Curtis,Pride,205,72,L,R,1993/9/14,1993,25,2006/10/1,,pridc001,pridecu01,13.05,l
bautida01,1972,5,24,D.R.,Distrito Nacional,Danny,Bautista,170,71,R,R,1993/9/15,1993,21,2004/9/28,,bautd001,bautida01,11.04,l
grangje01,1971,12,16,USA,CA,Jeff,Granger,200,76,R,L,1993/9/16,1993,22,1997/4/25,,granj001,grangje01,3.61,s
floydcl01,1972,12,5,USA,IL,Cliff,Floyd,220,77,L,R,1993/9/18,1993,21,2009/6/17,,floyc001,floydcl01,15.76,l
trachst01,1970,10,31,USA,CA,Steve,Trachsel,185,75,R,R,1993/9/19,1993,23,2008/6/7,,tracs001,trachst01,14.73,l
kiefema01,1968,11,13,USA,CA,Mark,Kiefer,175,76,R,R,1993/9/20,1993,25,1996/4/27,,kiefm001,kiefema01,2.6,s
martino01,1966,12,10,D.R.,San Pedro de Macoris,Norberto,Martin,175,70,R,R,1993/9/20,1993,27,1999/5/4,,martn001,martino01,5.62,s
howarch02,1965,11,18,USA,MA,Chris,Howard,185,72,R,L,1993/9/21,1993,28,1995/9/20,,howac002,howarch02,2,s
loonebr01,1969,9,26,USA,CT,Brian,Looney,180,70,L,L,1993/9/26,1993,24,1995/6/8,,loonb001,loonebr01,1.7,s
greensh01,1972,11,10,USA,IL,Shawn,Green,190,76,L,L,1993/9/28,1993,21,2007/9/29,,grees001,greensh01,14.01,l
greerke01,1967,5,12,USA,MA,Kenny,Greer,210,75,R,R,1993/9/29,1993,26,1995/7/17,,greek001,greerke01,1.8,s
delgaca01,1972,6,25,P.R.,,Carlos,Delgado,215,75,L,R,1993/10/1,1993,21,2009/5/10,,delgc001,delgaca01,15.62,l
davisti01,1970,7,14,USA,FL,Tim,Davis,165,71,L,L,1994/4/4,1994,24,1997/4/18,,davit002,davisti01,3.04,s
sageraj01,1965,3,3,USA,OH,A. J.,Sager,220,76,R,R,1994/4/4,1994,29,1998/9/26,,sagea001,sagera.01,4.48,s
hyersti01,1971,10,3,USA,GA,Tim,Hyers,185,73,L,L,1994/4/4,1994,23,1999/8/5,,hyert001,hyersti01,5.34,s
moutoja01,1968,12,29,USA,CO,James,Mouton,175,69,R,R,1994/4/4,1994,26,2001/10/7,,moutj001,moutoja01,7.52,m
gonzaal01,1973,4,8,USA,FL,Alex,Gonzalez,180,72,R,R,1994/4/4,1994,21,2006/5/20,,gonza001,gonzaal01,12.13,l
petagro01,1971,6,7,Venezuela,Nueva Esparta,Roberto,Petagine,172,73,L,L,1994/4/4,1994,23,2006/7/8,,petar001,petagro01,12.27,l
carrahe01,1969,10,22,D.R.,San Pedro de Macoris,Hector,Carrasco,235,74,R,R,1994/4/4,1994,25,2007/6/30,,carrh001,carrahe01,13.25,l
halljo02,1966,3,6,USA,KY,Joe,Hall,180,72,R,R,1994/4/5,1994,28,1997/6/18,,hallj001,halljo02,3.21,s
kellymi02,1970,6,2,USA,CA,Mike,Kelly,195,76,R,R,1994/4/5,1994,24,1999/4/12,,kellm001,kellymi02,5.02,s
taylobi04,1961,10,16,USA,FL,Billy,Taylor,200,80,R,R,1994/4/5,1994,33,2001/4/8,,taylb001,taylobi04,7.01,m
