player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
olerujo01,1968,8,5,USA,WA,John,Olerud,205,77,L,L,1989/9/3,1989,21,2005/10/2,,olerj001,olerujo01,16.09,l
mannke01,1967,8,17,USA,CA,Kelly,Mann,215,75,R,R,1989/9/4,1989,22,1990/10/3,,mannk001,mannke01,1.08,s
mcelrch01,1967,10,1,USA,TX,Chuck,McElroy,160,72,L,L,1989/9/4,1989,22,2001/10/7,,mcelc001,mcelrch01,12.1,l
combspa01,1966,10,29,USA,RI,Pat,Combs,200,75,L,L,1989/9/5,1989,23,1992/7/7,,combp001,combspa01,2.84,s
wilsocr01,1964,11,28,USA,MD,Craig,Wilson,175,71,R,R,1989/9/6,1989,25,1993/9/29,,wilsc001,wilsocr01,4.07,s
bellju01,1968,3,29,D.R.,San Pedro de Macoris,Juan,Bell,172,71,R,R,1989/9/6,1989,21,1995/8/25,,bellj003,bellju01,5.97,s
mcdonbe01,1967,11,24,USA,LA,Ben,McDonald,212,79,R,R,1989/9/6,1989,22,1997/7/16,,mcdob001,mcdonbe01,7.86,m
munozmi01,1965,7,12,USA,CA,Mike,Munoz,190,74,L,L,1989/9/6,1989,24,2000/4/26,,munom001,munozmi01,10.64,l
allrebe01,1965,6,4,USA,AZ,Beau,Allred,190,72,L,L,1989/9/7,1989,24,1991/6/25,,allrb001,allrebe01,1.8,s
barfijo01,1964,10,15,USA,AR,John,Barfield,195,73,L,L,1989/9/7,1989,25,1991/8/1,,barfj002,barfijo01,1.9,s
machaju01,1965,12,1,Venezuela,Zulia,Julio,Machado,165,69,R,R,1989/9/7,1989,24,1991/10/6,,machj001,machaju01,2.08,s
seaneru01,1968,10,20,USA,CA,Rudy,Seanez,185,70,R,R,1989/9/7,1989,21,2008/9/28,,seanr001,seaneru01,19.07,l
sorrepa01,1965,11,17,USA,MA,Paul,Sorrento,195,74,L,R,1989/9/8,1989,24,1999/10/2,,sorrp001,sorrepa01,10.07,l
belinst01,1966,8,6,USA,PA,Stan,Belinda,185,75,R,R,1989/9/8,1989,23,2000/9/3,,belis001,belinst01,10.99,l
grimsja01,1967,8,7,USA,TX,Jason,Grimsley,180,75,R,R,1989/9/8,1989,22,2006/5/31,,grimj001,grimsja01,16.74,l
hemonsc01,1965,11,18,USA,MA,Scott,Hemond,205,72,R,R,1989/9/9,1989,24,1995/9/29,,hemos001,hemonsc01,6.06,m
jorgete01,1966,9,2,USA,WI,Terry,Jorgensen,208,76,R,R,1989/9/10,1989,23,1993/10/1,,jorgt001,jorgete01,4.06,s
hartlmi01,1961,8,31,USA,CA,Mike,Hartley,192,73,R,R,1989/9/10,1989,28,1995/9/24,,hartm002,hartlmi01,6.04,m
greento01,1967,4,6,USA,NC,Tommy,Greene,225,77,R,R,1989/9/10,1989,22,1997/7/4,,greet001,greento01,7.82,m
fletcda01,1966,10,3,USA,IL,Darrin,Fletcher,195,74,L,R,1989/9/10,1989,23,2002/7/16,,fletd001,fletcda01,12.85,l
vizcajo01,1968,3,26,D.R.,San Cristobal,Jose,Vizcaino,150,73,B,R,1989/9/10,1989,21,2006/10/1,,vizcj001,vizcajo01,17.07,l
edwarwa01,1964,3,7,USA,CA,Wayne,Edwards,185,77,L,L,1989/9/11,1989,25,1991/5/25,,edwaw001,edwarwa01,1.7,s
venturo01,1967,7,14,USA,CA,Robin,Ventura,185,73,L,R,1989/9/12,1989,22,2004/10/2,,ventr001,venturo01,15.07,l
densodr01,1965,11,16,USA,OH,Drew,Denson,210,77,B,R,1989/9/13,1989,24,1993/10/3,,densd001,densodr01,4.06,s
howitda01,1964,2,13,USA,MI,Dann,Howitt,205,77,L,R,1989/9/15,1989,25,1994/7/7,,howid001,howitda01,4.81,s
beattbl01,1964,4,25,USA,TX,Blaine,Beatty,185,74,L,L,1989/9/16,1989,25,1991/9/30,,beatb001,beattbl01,2.04,s
merckke01,1968,2,1,USA,OH,Kent,Mercker,175,73,L,L,1989/9/22,1989,21,2008/5/30,,merck001,merckke01,18.7,l
disarga01,1967,11,19,USA,MA,Gary,Disarcina,170,73,R,R,1989/9/23,1989,22,2000/5/8,,disag001,disarga01,10.63,l
rohdeda01,1964,5,8,USA,CA,Dave,Rohde,180,74,B,R,1990/4/9,1990,26,1992/5/22,,rohdd001,rohdeda01,2.12,s
layanti01,1964,3,2,USA,CA,Tim,Layana,195,74,R,R,1990/4/9,1990,26,1993/7/26,,layat001,layanti01,3.3,s
ruskisc01,1963,6,8,USA,FL,Scott,Ruskin,185,74,R,L,1990/4/9,1990,27,1993/9/16,,rusks001,ruskisc01,3.44,s
radinsc01,1968,3,3,USA,CA,Scott,Radinsky,190,75,L,L,1990/4/9,1990,22,2001/10/5,,radis001,radinsc01,11.5,l
deshide01,1969,1,15,USA,DE,Delino,DeShields,170,73,L,R,1990/4/9,1990,21,2002/8/8,,deshd001,deshide01,12.34,l
sampebi01,1963,1,18,USA,IL,Bill,Sampen,185,73,R,R,1990/4/10,1990,27,1994/5/9,,sampb002,sampebi01,4.08,s
knackbr01,1969,8,1,USA,CA,Brent,Knackert,185,75,R,R,1990/4/10,1990,21,1996/6/4,,knacb001,knackbr01,6.16,m
bohanbr01,1968,8,1,USA,TX,Brian,Bohanon,210,74,L,L,1990/4/10,1990,22,2001/8/17,,bohab001,bohanbr01,11.36,l
