player_id,birth_year,birth_month,birth_day,birth_country,birth_state,name_first,name_last,weight,height,bats,throws,debut,debut_year,debut_ages,final_game,retired_year,retro_id,bbref_id,career_year,career_def
henrios01,1974,1,28,Venezuela,Vargas,Oscar,Henriquez,220,78,R,R,1997/9/7,1997,23,2002/9/8,,henro001,henrios01,5.01,s
winchsc01,1973,4,20,USA,MI,Scott,Winchester,210,74,R,R,1997/9/8,1997,24,2001/8/9,,wincs001,winchsc01,3.92,s
konerpa01,1976,3,5,USA,RI,Paul,Konerko,220,74,R,R,1997/9/8,1997,21,2014/9/28,,konep001,konerpa01,17.07,l
watkipa01,1972,9,2,USA,NC,Pat,Watkins,185,74,R,R,1997/9/9,1997,25,1999/5/1,,watkp001,watkipa01,1.64,s
croweji01,1974,5,14,USA,MN,Jim,Crowell,220,76,L,L,1997/9/12,1997,23,2005/5/17,,crowj001,croweji01,7.68,m
caseyse01,1974,7,2,USA,NJ,Sean,Casey,215,76,L,R,1997/9/12,1997,23,2008/9/28,,cases001,caseyse01,11.05,l
lowerte01,1970,10,25,USA,CA,Terrell,Lowery,180,75,R,R,1997/9/13,1997,27,2000/10/1,,lowet001,lowerte01,3.05,s
valenja01,1975,9,19,P.R.,,Javier,Valentin,198,70,B,R,1997/9/13,1997,22,2008/9/28,,valej004,valenja01,11.05,l
sexsori01,1974,12,29,USA,OR,Richie,Sexson,205,78,R,R,1997/9/14,1997,23,2008/8/13,,sexsr001,sexsori01,10.92,l
clybuda01,1974,4,6,USA,SC,Danny,Clyburn,220,75,R,R,1997/9/15,1997,23,1999/6/2,,clybd001,clybuda01,1.71,s
checoro01,1971,9,9,D.R.,Santiago,Robinson,Checo,165,73,R,R,1997/9/16,1997,26,1999/10/3,,checr001,checoro01,2.05,s
figgami01,1970,7,31,USA,FL,Mike,Figga,200,72,R,R,1997/9/16,1997,27,1999/10/3,,figgm001,figgami01,2.05,s
guevagi01,1972,10,23,Venezuela,Miranda,Giomar,Guevara,150,68,B,R,1997/9/19,1997,25,1999/4/27,,guevg001,guevagi01,1.6,s
wilsoen01,1973,7,27,D.R.,Distrito Nacional,Enrique,Wilson,160,71,B,R,1997/9/24,1997,24,2005/6/24,,wilse001,wilsoen01,7.75,m
varitja01,1972,4,11,USA,MI,Jason,Varitek,230,74,B,R,1997/9/24,1997,25,2011/9/25,,varij001,varitja01,14.01,l
juddmi01,1975,6,30,USA,CA,Mike,Judd,200,74,R,R,1997/9/28,1997,22,2001/6/12,,juddm001,juddmi01,3.71,s
diazed03,1975,1,15,P.R.,,Edwin,Diaz,172,71,R,R,1998/3/31,1998,23,1999/8/2,,diaze004,diazed03,1.34,s
runyase01,1974,6,21,USA,AR,Sean,Runyan,220,75,L,L,1998/3/31,1998,24,2000/9/9,,runys001,runyase01,2.45,s
smithbo06,1974,5,10,USA,CA,Bob,Smith,190,75,R,R,1998/3/31,1998,24,2002/5/6,,smitr003,smithbo06,4.1,s
jacksry01,1971,11,15,USA,FL,Ryan,Jackson,195,74,L,L,1998/3/31,1998,27,2002/6/18,,jackr004,jacksry01,4.22,s
carusmi01,1977,5,27,USA,NY,Mike,Caruso,172,73,L,R,1998/3/31,1998,21,2002/8/9,,carum001,carusmi01,4.36,s
sanchje01,1974,10,11,D.R.,Peravia,Jesus,Sanchez,165,70,L,L,1998/3/31,1998,24,2004/7/15,,sancj001,sanchje01,6.3,m
gipsoch01,1972,12,16,USA,CA,Charles,Gipson,180,74,R,R,1998/3/31,1998,26,2005/10/2,,gipsc001,gipsoch01,7.51,m
leetr01,1975,5,26,USA,CA,Travis,Lee,205,75,L,L,1998/3/31,1998,23,2006/9/1,,lee-t002,leetr01,8.43,m
loopebr01,1974,10,28,USA,OK,Braden,Looper,210,76,R,R,1998/3/31,1998,24,2009/10/2,,loopb001,loopebr01,11.52,l
arrojro01,1968,7,18,Cuba,Villa Clara,Rolando,Arrojo,215,76,R,R,1998/4/1,1998,30,2002/9/22,,arror001,arrojro01,4.48,s
hinchaj01,1974,5,15,USA,IA,A. J.,Hinch,195,73,R,R,1998/4/1,1998,24,2004/9/24,,hinca001,hincha.01,6.49,m
darenvi01,1970,11,13,USA,CA,Vic,Darensbourg,165,70,L,L,1998/4/1,1998,28,2005/9/28,,darev001,darenvi01,7.5,m
sadledo01,1975,6,17,USA,TX,Donnie,Sadler,165,66,R,R,1998/4/1,1998,23,2007/5/12,,sadld001,sadledo01,9.12,m
woodja02,1969,12,16,USA,CA,Jason,Wood,200,74,R,R,1998/4/1,1998,29,2008/4/2,,woodj001,woodja02,10.01,l
rizzoto01,1971,5,24,USA,PA,Todd,Rizzo,220,75,R,L,1998/4/2,1998,27,1999/7/18,,rizzt001,rizzoto01,1.29,s
hughebo01,1971,3,10,USA,CA,Bobby,Hughes,237,76,R,R,1998/4/2,1998,27,1999/8/22,,hughb001,hughebo01,1.39,s
medinra01,1975,2,15,Panama,Panama,Rafael,Medina,194,75,R,R,1998/4/2,1998,23,1999/9/26,,medir001,medinra01,1.48,s
edmonbr01,1973,1,29,USA,CA,Brian,Edmondson,165,74,R,R,1998/4/2,1998,25,1999/9/29,,edmob001,edmonbr01,1.49,s
bergda01,1970,9,3,USA,CA,Dave,Berg,185,71,R,R,1998/4/2,1998,28,2004/9/29,,bergd002,bergda01,6.5,m
halamjo01,1972,2,22,USA,NY,John,Halama,215,77,L,L,1998/4/2,1998,26,2006/6/10,,halaj001,halamjo01,8.19,m
politcl01,1974,2,27,USA,MO,Cliff,Politte,185,71,R,R,1998/4/2,1998,24,2006/7/15,,polic001,politcl01,8.29,m
ortizru01,1974,6,5,USA,CA,Russ,Ortiz,200,73,R,R,1998/4/2,1998,24,2010/4/17,,ortir001,ortizru01,12.05,l
vazquja01,1976,7,25,P.R.,,Javier,Vazquez,210,74,R,R,1998/4/3,1998,22,2011/9/27,,vazqj001,vazquja01,13.49,l
meadobr01,1975,11,21,USA,AL,Brian,Meadows,210,76,R,R,1998/4/4,1998,23,2006/9/30,,meadb001,meadobr01,8.5,m
mooretr01,1972,10,2,USA,TX,Trey,Moore,200,73,L,L,1998/4/5,1998,26,2001/7/15,,moort001,mooretr01,3.28,s
yoshima01,1965,4,20,Japan,Wakayama,Masato,Yoshii,210,74,R,R,1998/4/5,1998,33,2002/9/11,,yoshm001,yoshima01,4.44,s
miltoer01,1975,8,4,USA,PA,Eric,Milton,200,75,L,L,1998/4/5,1998,23,2009/6/27,,milte001,miltoer01,11.24,l
buddimi01,1970,12,12,USA,OH,Mike,Buddie,210,75,R,R,1998/4/6,1998,28,2002/5/26,,buddm001,buddimi01,4.14,s
spencsh01,1972,2,20,USA,FL,Shane,Spencer,210,71,R,R,1998/4/10,1998,26,2004/7/22,,spens001,spencsh01,6.29,m
